epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.75,1.41219,3.31884,1.83172,0.0034,1,0.07361,0.02894,2.18418,4.45438,3.32911,6.668e-05,6.668e-05,6.668e-05
2,132.39,1.12534,3.14945,1.63776,0.00151,0.5,0.4975,0.24875,2.64934,4.42412,4.08081,0.000148545,0.000148545,0.000148545
3,133.706,1.15156,3.07226,1.6272,0.00334,1,0.08837,0.0234,2.95954,4.78799,4.64396,0.000228759,0.000228759,0.000228759
4,134.876,1.00676,2.87069,1.51248,0.00334,1,0.41458,0.10155,2.34838,5.33705,3.80556,0.000307323,0.000307323,0.000307323
5,136.078,0.9479,2.80513,1.48031,0.00341,1,0.66333,0.10449,2.1753,4.27405,2.90622,0.000384237,0.000384237,0.000384237
6,137.302,0.9995,2.61826,1.49147,0.00339,1,0.62187,0.21973,1.87833,4.0686,2.77875,0.0004595,0.0004595,0.0004595
7,138.523,0.90812,2.41716,1.43341,0.00338,1,0.74625,0.22052,1.76104,4.0705,2.55049,0.000533113,0.000533113,0.000533113
8,139.735,1.02668,2.43043,1.54979,0.00335,1,0.30403,0.1914,1.95982,4.63574,2.90546,0.000605076,0.000605076,0.000605076
9,140.95,1.12678,2.22348,1.60951,0.00348,1,0.56857,0.11897,2.96849,4.54451,4.04411,0.000675388,0.000675388,0.000675388
10,142.131,1.22866,2.12334,1.6678,0.00138,0.5,0.4975,0.12437,3.60733,4.95966,5.39183,0.00074405,0.00074405,0.00074405
11,143.31,1.06023,2.10561,1.5624,0.00116,0.5,0.4975,0.12437,3.26411,5.33981,4.51701,0.000811062,0.000811062,0.000811062
12,144.479,1.07158,2.03626,1.50907,0.00108,0.5,0.0995,0.00995,4.03324,4.46707,6.34679,0.000876424,0.000876424,0.000876424
13,145.669,1.20411,1.84728,1.60597,0.00109,0.5,0.0995,0.00995,4.17803,4.66903,5.80643,0.000940135,0.000940135,0.000940135
14,146.888,1.03285,1.94401,1.53905,0.00134,0.5,0.4975,0.14925,3.60549,4.59573,5.04782,0.0010022,0.0010022,0.0010022
